ticker,company,listing
TGOPF,3i GROUP PLC,sec_only
AMKBF,A.P. Møller - Mærsk A/S,otc
AMKAF,A.P. Møller - Mærsk A/S,otc
ACOPY,The a2 Milk Company Limited,otc
AEMMF,A2A S.p.A.,otc
AACAY,AAC Technologies Holdings Inc.,otc
ABBNY,ABB LTD,sec_only
AAVMY,ABN AMRO Bank N.V.,otc
ABTZY,"Aboitiz Equity Ventures, Inc.",otc
ABZPY,Aboitiz Power Corporation,otc
AGRPF,Absa Group Limited,otc
ACLIF,Accelleron Industries AG,otc
ACCYY,Accor SA,otc
ACRXF,"Acerinox, S.A.",otc
AVHNY,Ackermans & Van Haaren NV,otc
ACSAY,"ACS, Actividades de Construcción y Servicios, S.A.",otc
AMIGY,Admiral Group plc,otc
AVIFY,Advanced Info Service Public Company Limited,otc
AVIVF,Advanced Info Service Public Company Limited,otc
ATEYY,ADVANTEST CORP,sec_only
ADYYF,Adyen N.V./ADR,sec_only
AONNF,"Aeon Co., Ltd.",otc
ARRPY,Aeroports de Paris SA,otc
ASGLY,AGC Inc.,otc
AGLNF,AGL Energy Limited,otc
ACGBF,Agricultural Bank of China Limited,otc
AAGIY,AIA Group Limited,otc
AIBRF,AIB Group plc/ADR,sec_only
AKCLY,Aica Kogyo Co Limited/ADR,sec_only
AIRYY,Air China Limited,otc
AWATY,Air Water Inc./ADR,sec_only
ANZLY,Air New Zealand Limited,otc
EADSY,Airbus SE,otc
AIPUF,Airports of Thailand Public Company Limited,otc
AARTY,Airtel Africa Plc,otc
ASEKF,Aisin Corporation,otc
AIIXY,AIXTRON SE,otc
AJNMY,"Ajinomoto Co., Inc.",otc
AKRTF,Aker Solutions ASA,otc
ALCYF,Alchemy Investments Acquisition Corp 1,sec_only
ALFVF,Alfa Laval AB (publ),otc
ALFNF,Alfen N.V.,otc
ALFRY,Alfresa Holdings Corporation,otc
ALBBY,Alibaba Health Information Technology Limited,otc
ALIZF,Allianz SE,otc
ALID,Allied Corp.,otc
ALURW,Allurion Technologies Inc.,otc
ALUR,"ALLURION TECHNOLOGIES, INC.",sec_only
APHBF,Alpha Bank S.A.,otc
APELF,"Alps Alpine Co., Ltd.",otc
SOHGY,ALSOK Co Ltd./ADR,sec_only
AOMFF,ALSTOM,sec_only
AEAE,AltEnergy Acquisition Corp,sec_only
AMDWF,"Amada Co., Ltd.",otc
AMADF,"Amadeus IT Group, S.A.",otc
AMBBY,Ambu A/S,otc
AILLM,Ameren Illinois Company,otc
AILIM,Ameren Illinois Company,otc
AILLN,Ameren Illinois Company,otc
AILIN,Ameren Illinois Company,otc
