ticker,company,price,marketCap,exchange,quoteType
ASMLF,ASML Holding N.V.,1742.0,669102178304.0,PNK,EQUITY
TCTZF,Tencent Holdings Limited,58.0,522475929600.0,PNK,EQUITY
TCEHY,Tencent Holdings Limited,56.53,509233856512.0,PNK,EQUITY
IDCBF,Industrial and Commercial Bank of China Limited,0.96,447694045184.0,PNK,EQUITY
IDCBY,Industrial and Commercial Bank of China Limited,19.11,444904243200.0,PNK,EQUITY
SSNLF,"Samsung Electronics Co., Ltd.",65.21,428205604864.0,PNK,EQUITY
DOGEF,Ørsted A/S,22.0,427309137920.0,PNK,EQUITY
CYATY,"Contemporary Amperex Technology Co., Limited",19.88,367911567360.0,PNK,EQUITY
HBCYF,HSBC Holdings plc,20.25,346971209728.0,PNK,EQUITY
NVSEF,Novartis AG,163.6,310956982272.0,PNK,EQUITY
PCCYF,PetroChina Company Limited,1.25,307957989376.0,PNK,EQUITY
CICHY,China Construction Bank Corporation,23.5,307380453376.0,PNK,EQUITY
CGXYY,"China Galaxy Securities Co., Ltd.",27.67,302554906624.0,PNK,EQUITY
BABAF,Alibaba Group Holding Limited,15.25,292418584576.0,PNK,EQUITY
CICHF,China Construction Bank Corporation,1.11,290376417280.0,PNK,EQUITY
ACGBY,Agricultural Bank of China Limited,19.89,278446473216.0,PNK,EQUITY
RYDAF,Shell plc,47.4,261093474304.0,PNK,EQUITY
SIEGY,Siemens Aktiengesellschaft,167.05,260686266368.0,PNK,EQUITY
SMAWF,Siemens Aktiengesellschaft,334.0,260608245760.0,PNK,EQUITY
LVMHF,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",528.0,260285628416.0,PNK,EQUITY
MBFJF,"Mitsubishi UFJ Financial Group, Inc.",23.0,259368075264.0,PNK,EQUITY
LVMUY,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",105.2,259299704832.0,PNK,EQUITY
SAPGF,SAP SE,216.2,249538969600.0,PNK,EQUITY
BHPLF,BHP Group Limited,48.26,245303345152.0,PNK,EQUITY
LRLCY,L'Oréal S.A.,90.73,241636605952.0,PNK,EQUITY
ACGBF,Agricultural Bank of China Limited,0.69,241488297984.0,PNK,EQUITY
LRLCF,L'Oréal S.A.,434.0,231170031616.0,PNK,EQUITY
TOYOF,Toyota Motor Corporation,19.5,230900531200.0,PNK,EQUITY
BACHY,Bank of China Limited,17.7,228126392320.0,PNK,EQUITY
BACHF,Bank of China Limited,0.703,226515320832.0,PNK,EQUITY
BCDRF,"Banco Santander, S.A.",14.8,215286808576.0,PNK,EQUITY
NONOF,Novo Nordisk A/S,48.25,213314699264.0,PNK,EQUITY
IDEXF,"Industria de Diseño Textil, S.A.",67.9,211397607424.0,PNK,EQUITY
IDEXY,"Industria de Diseño Textil, S.A.",16.97,211335331840.0,PNK,EQUITY
CBAUF,Commonwealth Bank of Australia,124.5,208142909440.0,PNK,EQUITY
RTNTF,Rio Tinto Group,128.0,208027336704.0,PNK,EQUITY
ALIZY,Allianz SE,52.52,199201144832.0,PNK,EQUITY
SBGSF,Schneider Electric S.E.,347.0,195055616000.0,PNK,EQUITY
SBGSY,Schneider Electric S.E.,68.98,193875181568.0,PNK,EQUITY
ALIZF,Allianz SE,510.0,193435992064.0,PNK,EQUITY
HESAF,Hermès International Société en commandite par actions,1823.05,190949343232.0,PNK,EQUITY
EADSF,Airbus SE,241.0,190746804224.0,PNK,EQUITY
HESAY,Hermès International Société en commandite par actions,182.0,190629871616.0,PNK,EQUITY
EADSY,Airbus SE,59.58,188625633280.0,PNK,EQUITY
CMWAY,Commonwealth Bank of Australia,112.335,187805089792.0,PNK,EQUITY
SFTBY,SoftBank Group Corp.,16.05,182935437312.0,PNK,EQUITY
ABBNY,ABB Ltd,99.2,179784581120.0,PNK,EQUITY
