ticker,company,price,marketCap,need,r1_score,reason
FLWS,1-800-FLOWERS.COM Inc. Common Stock,3.92,251266053.0,retail,19,"R1: need alignment below threshold (score 4/30, need=retail)"
GPI,Group 1 Automotive Inc. Common Stock,264.81,3157124402.0,transport,28,"R1: need alignment below threshold (score 8/30, need=transport)"
FUXA,"1 Finanx AI Technologies, Inc.",1.45,16023495.0,unknown,13,"R1: need alignment below threshold (score 8/30, need=unknown)"
YI,111 Inc. American Depositary Shares,3.8009,33436380.0,health,21,"R1: need alignment below threshold (score 12/30, need=health)"
YQ,17 Education & Technology Group Inc. American Depositary Shares,2.235,24262463.0,services,11,"R1: need alignment below threshold (score 6/30, need=services)"
BCOW,"1895 Bancorp of Wisconsin, Inc. /MD/",17.67,90940984.0,finance,16,"R1: need alignment below threshold (score 4/30, need=finance)"
SRCE,1st Source Corporation Common Stock,86.06,2072481946.0,finance,25,"R1: need alignment below threshold (score 5/30, need=finance)"
DIBS,1stdibs.com Inc. Common Stock,4.48,150596513.0,retail,20,"R1: need alignment below threshold (score 5/30, need=retail)"
TWNMF,29Metals Limited,0.174,304513312.0,materials,18,"R1: need alignment below threshold (score 3/30, need=materials)"
TCSIF,2CRSI S.A.,12.25,276772960.0,infrastructure,29,"R1: need alignment below threshold (score 14/30, need=infrastructure)"
TSIOF,361 Degrees International Limited,0.5782,1253353728.0,clothing,25,"R1: need alignment below threshold (score 7/30, need=clothing)"
SCWO,374Water Inc. Common Stock,2.37,41992042.0,infrastructure,24,"R1: need alignment below threshold (score 15/30, need=infrastructure)"
DDD,3D Systems Corporation Common Stock,3.22,534993408.0,infrastructure,32,"R1: need alignment below threshold (score 14/30, need=infrastructure)"
HKRHF,3DG Holdings (International) Limited,0.07,18877014.0,unknown,8,"R1: need alignment below threshold (score 8/30, need=unknown)"
TGOPY,3i Group plc,10.07,40230670336.0,finance,22,"R1: need alignment below threshold (score 2/30, need=finance)"
FRRFF,4imprint Group plc,49.54,1389350656.0,media,20,"R1: need alignment below threshold (score 2/30, need=media)"
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,16.15,97018137.0,services,18,"R1: need alignment below threshold (score 6/30, need=services)"
FEAM,5E Advanced Materials Inc. Common Stock,1.75,72651640.0,materials,22,"R1: need alignment below threshold (score 10/30, need=materials)"
FPLSF,5N Plus Inc.,18.79,1689884800.0,infrastructure,34,"R1: need alignment below threshold (score 16/30, need=infrastructure)"
