ticker,company,price,cap,need,verdict,r3_fin_score,reason
ABLZF,ABB Ltd,98.7,178878398464.0,energy,A,21,R3: ranked below R4 cut (composite need+financial score)
AEHR,Aehr Test Systems Common Stock,95.59,3118188816.0,energy,A,10,R3: ranked below R4 cut (composite need+financial score)
APH,Amphenol Corporation Common Stock,158.78,195773104128.0,energy,B,23,R3: ranked below R4 cut (composite need+financial score)
BKWAF,BKW AG,165.96,8757784576.0,energy,B,17,R3: ranked below R4 cut (composite need+financial score)
FOJCY,Fortum Oyj,4.75,21310029824.0,energy,B,21,R3: ranked below R4 cut (composite need+financial score)
HUBB,Hubbell Inc Common Stock,464.19,24524351488.0,energy,A,21,R3: ranked below R4 cut (composite need+financial score)
ITRI,Itron Inc. Common Stock,98.73,4323066368.0,energy,A,13,R3: ranked below R4 cut (composite need+financial score)
LFUS,Littelfuse Inc. Common Stock,405.39,10296398848.0,energy,A,21,R3: ranked below R4 cut (composite need+financial score)
NXPRF,Nexans S.A.,175.0,7646357504.0,energy,A,16,R3: ranked below R4 cut (composite need+financial score)
NRKBF,NKT A/S,158.3,8461206528.0,energy,A,14,R3: ranked below R4 cut (composite need+financial score)
POWL,Powell Industries Inc. Common Stock,190.19,6929109504.0,energy,A,19,R3: ranked below R4 cut (composite need+financial score)
PRYMY,Prysmian S.p.A.,70.58,41253908480.0,energy,A,21,R3: ranked below R4 cut (composite need+financial score)
STECF,Scatec ASA,12.6,2013822336.0,energy,B,18,R3: ranked below R4 cut (composite need+financial score)
PHPPY,Signify N.V.,8.92,2130891392.0,energy,B,13,R3: ranked below R4 cut (composite need+financial score)
VLTO,Veralto Corp Common Stock ,98.77,24079468544.0,energy,A,20,R3: ranked below R4 cut (composite need+financial score)
OEZVY,VERBUND AG,13.65,23711119360.0,energy,B,14,R3: ranked below R4 cut (composite need+financial score)
AES,The AES Corporation Common Stock,14.73,10508951020.0,energy,B,10,R3: ranked below R4 cut (composite need+financial score)
ALNT,Allient Inc. Common Stock,93.1,1582375296.0,energy,B,19,R3: ranked below R4 cut (composite need+financial score)
BEPC,Brookfield Renewable Corporation Brookfield Renewable Corporation Class A Subordinate Voting Shares,33.39,6197159424.0,energy,B,22,R3: ranked below R4 cut (composite need+financial score)
CWEN,Clearway Energy Inc. Class C Common Stock,32.49,8013203968.0,energy,B,22,R3: ranked below R4 cut (composite need+financial score)
CLPHY,CLP Holdings Limited,10.15,25643472896.0,energy,B,16,R3: ranked below R4 cut (composite need+financial score)
CEG,Constellation Energy Corporation Common Stock ,278.42,98646269952.0,energy,B,11,R3: ranked below R4 cut (composite need+financial score)
CTS,CTS Corporation Common Stock,56.69,1618850688.0,energy,B,19,R3: ranked below R4 cut (composite need+financial score)
ELIAF,Elia Group SA/NV,154.75,16889997312.0,energy,A,16,R3: ranked below R4 cut (composite need+financial score)
ENLT,Enlight Renewable Energy Ltd. Ordinary Shares,80.67,11278277632.0,energy,A,16,R3: ranked below R4 cut (composite need+financial score)
CBLNF,Mersen S.A.,47.67,1158595328.0,energy,B,14,R3: ranked below R4 cut (composite need+financial score)
MEI,Methode Electronics Inc. Common Stock,16.05,569693824.0,energy,B,19,R3: ranked below R4 cut (composite need+financial score)
NEE,NextEra Energy Inc. Common Stock,84.22,175681093632.0,energy,A,14,R3: ranked below R4 cut (composite need+financial score)
NRG,NRG Energy Inc. Common Stock,113.61,23882012672.0,energy,B,17,R3: ranked below R4 cut (composite need+financial score)
ORA,Ormat Technologies Inc. Common Stock,106.24,6533434880.0,energy,A,13,R3: ranked below R4 cut (composite need+financial score)
OTTR,Otter Tail Corporation Common Stock,91.33,3834543104.0,energy,B,12,R3: ranked below R4 cut (composite need+financial score)
RDEIY,"Redeia Corporación, S.A.",8.87,9572430848.0,energy,B,18,R3: ranked below R4 cut (composite need+financial score)
RNW,ReNew Energy Global plc Class A Ordinary Shares,6.81,2482661376.0,energy,B,16,R3: ranked below R4 cut (composite need+financial score)
TEZNY,Terna S.p.A.,34.62,23181471744.0,energy,B,18,R3: ranked below R4 cut (composite need+financial score)
TYOTF,"Toyo Tanso Co., Ltd.",36.4,763386048.0,energy,B,12,R3: ranked below R4 cut (composite need+financial score)
TRNS,Transcat Inc. Common Stock,88.19,825441920.0,energy,B,21,R3: ranked below R4 cut (composite need+financial score)
VPG,Vishay Precision Group Inc. Common Stock,64.45,857249408.0,energy,B,19,R3: ranked below R4 cut (composite need+financial score)
VLXGF,Volex plc,8.6,1573996032.0,energy,B,19,R3: ranked below R4 cut (composite need+financial score)
VLTAF,Voltalia SA,8.54,1118253952.0,energy,B,16,R3: ranked below R4 cut (composite need+financial score)
AEMMY,A2A S.p.A.,13.3,8321614848.0,energy,A,18,R3: ranked below R4 cut (composite need+financial score)
BEP,Brookfield Renewable Partners L.P.,32.95,16029202432.0,energy,B,9,R3: ranked below R4 cut (composite need+financial score)
CGNWF,"CGN Power Co., Ltd.",0.355,17927006208.0,energy,B,9,R3: ranked below R4 cut (composite need+financial score)
DNGFF,Dongfang Electric Corporation Limited,2.8,9683408896.0,energy,B,8,R3: ranked below R4 cut (composite need+financial score)
ENAKF,E.ON SE,21.25,55553548288.0,energy,B,7,R3: ranked below R4 cut (composite need+financial score)
EDPFY,EDP ENERGIAS DE PORTUGAL SA,54.73,22672443392.0,energy,B,14,R3: ranked below R4 cut (composite need+financial score)
EDRVF,"EDP Renewables, S.A.",15.13,16033245184.0,energy,B,9,R3: ranked below R4 cut (composite need+financial score)
ELCPF,"EDP, S.A.",5.04,20834963456.0,energy,B,14,R3: ranked below R4 cut (composite need+financial score)
ENLAY,Enel SpA,11.12,110317780992.0,energy,B,17,R3: ranked below R4 cut (composite need+financial score)
ENREF,Energix - Renewable Energies Ltd.,7.35,4258649600.0,energy,B,18,R3: ranked below R4 cut (composite need+financial score)
ENGIY,Engie SA,29.59,75180089344.0,energy,B,11,R3: ranked below R4 cut (composite need+financial score)
FELTY,"Fuji Electric Co., Ltd.",21.96,12823862272.0,energy,A,17,R3: ranked below R4 cut (composite need+financial score)
FUWAY,"Furukawa Electric Co., Ltd.",12.53,17629620224.0,energy,B,14,R3: ranked below R4 cut (composite need+financial score)
HMDPF,Hammond Power Solutions Inc.,170.16,2025741952.0,energy,A,23,R3: ranked below R4 cut (composite need+financial score)
IRDEY,Iren SpA,28.95,3714504448.0,energy,B,16,R3: ranked below R4 cut (composite need+financial score)
JELCF,Johnson Electric Holdings Limited,3.12,2891375616.0,energy,B,14,R3: ranked below R4 cut (composite need+financial score)
KELRF,"Keisei Electric Railway Co., Ltd.",6.27,3023640064.0,energy,B,10,R3: ranked below R4 cut (composite need+financial score)
MIELF,Mitsubishi Electric Corporation,36.5,74694909952.0,energy,B,21,R3: ranked below R4 cut (composite need+financial score)
NGGTF,National Grid plc,16.53,83093020672.0,energy,B,11,R3: ranked below R4 cut (composite need+financial score)
NPIFF,Northland Power Inc.,15.35,4014056448.0,energy,B,14,R3: ranked below R4 cut (composite need+financial score)
ODERF,"Odakyu Electric Railway Co., Ltd.",11.4,3905340672.0,energy,B,10,R3: ranked below R4 cut (composite need+financial score)
RWEOY,RWE Aktiengesellschaft,67.98,53023391744.0,energy,B,7,R3: ranked below R4 cut (composite need+financial score)
SBGSF,Schneider Electric S.E.,347.0,195055616000.0,energy,A,19,R3: ranked below R4 cut (composite need+financial score)
SIELY,"Shanghai Electric Group Co., Ltd.",8.5,14584389632.0,energy,B,16,R3: ranked below R4 cut (composite need+financial score)
SEYMF,"Solaria Energía y Medio Ambiente, S.A.",19.0,2520124928.0,energy,B,20,R3: ranked below R4 cut (composite need+financial score)
SSEZY,SSE plc,32.82,39590727680.0,energy,B,5,R3: ranked below R4 cut (composite need+financial score)
STAEY,"Stanley Electric Co., Ltd.",11.2,2757670656.0,energy,B,15,R3: ranked below R4 cut (composite need+financial score)
SMTOF,"Sumitomo Electric Industries, Ltd.",13.3,41491738624.0,energy,B,15,R3: ranked below R4 cut (composite need+financial score)
WEICF,"Weichai Power Co., Ltd.",4.16,35943313408.0,energy,B,17,R3: ranked below R4 cut (composite need+financial score)
YASKF,YASKAWA Electric Corporation,40.28,10447340544.0,energy,B,14,R3: ranked below R4 cut (composite need+financial score)
YOKEF,Yokogawa Electric Corporation,36.29,9081294848.0,energy,B,12,R3: ranked below R4 cut (composite need+financial score)
YTLPF,YTL Power International Berhad,0.8,6935240192.0,energy,B,15,R3: ranked below R4 cut (composite need+financial score)
ZHUZY,"Zhuzhou CRRC Times Electric Co., Ltd.",22.5,5988165632.0,energy,A,16,R3: ranked below R4 cut (composite need+financial score)
COSXF,"Cosel Co., Ltd.",7.69,316321696.0,energy,B,14,R3: ranked below R4 cut (composite need+financial score)
FNOEF,"Furuno Electric Co., Ltd.",41.99,1327254528.0,energy,B,17,R3: ranked below R4 cut (composite need+financial score)
TIANF,Tianneng Power International Limited,0.5966,671845888.0,energy,B,11,R3: ranked below R4 cut (composite need+financial score)
XPPLF,XP Power Limited,27.92,1323038080.0,energy,B,13,R3: ranked below R4 cut (composite need+financial score)
ANDE,Andersons Inc. (The) Common Stock,65.92,2239669504.0,food,B,2,R3: ranked below R4 cut (composite need+financial score)
CTVA,Corteva Inc. Common Stock ,83.05,55410630656.0,food,A,14,R3: ranked below R4 cut (composite need+financial score)
ARHUF,AAK AB (publ.),21.04,5477714432.0,food,B,11,R3: ranked below R4 cut (composite need+financial score)
AJINF,"Ajinomoto Co., Inc.",35.56,33900627968.0,food,B,16,R3: ranked below R4 cut (composite need+financial score)
ADM,Archer-Daniels-Midland Company Common Stock,79.16,38151921664.0,food,B,16,R3: ranked below R4 cut (composite need+financial score)
BG,Bunge Limited Common Shares,111.71,21461626880.0,food,B,12,R3: ranked below R4 cut (composite need+financial score)
CRWKF,Cranswick plc,72.5,3879417600.0,food,B,16,R3: ranked below R4 cut (composite need+financial score)
FPAFY,First Pacific Company Limited,3.39,2889717504.0,food,B,11,R3: ranked below R4 cut (composite need+financial score)
GLAPF,Glanbia plc,27.71,6697264640.0,food,B,17,R3: ranked below R4 cut (composite need+financial score)
