ticker,company,price,marketCap,country,sector,industry,ipoyear,volume,listing,normname
LNXGF,0187279 B.C. Ltd.,1e-05,19856.0,,,,,,otc,0187279 B C
REPCF,0913693 B.C. Ltd.,0.0001,7357.0,,,,,,otc,0913693 B C
FLWS,1-800-FLOWERS.COM Inc. Common Stock,3.92,251266053.0,United States,Consumer Discretionary,Other Specialty Stores,1999.0,413296.0,exchange,1 800 FLOWERS COMMON STOCK
GPI,Group 1 Automotive Inc. Common Stock,264.81,3157124402.0,United States,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,1997.0,131188.0,exchange,1 AUTOMOTIVE COMMON STOCK
FUXA,"1 Finanx AI Technologies, Inc.",1.45,16023495.0,,,,,,otc,1 FINANX AI TECHNOLOGIES
TXG,10x Genomics Inc. Class A Common Stock,64.72,8432444393.0,United States,Industrials,Biotechnology: Laboratory Analytical Instruments,2019.0,4129317.0,exchange,10X GENOMICS COMMON STOCK
YI,111 Inc. American Depositary Shares,3.8009,33436380.0,China,Consumer Staples,Retail-Drug Stores and Proprietary Stores,2018.0,17859.0,exchange,111 AMERICAN DEPOSITARY SHARES
CBDW,1606 CORP.,,,,,,,,sec_only,1606
YQ,17 Education & Technology Group Inc. American Depositary Shares,2.235,24262463.0,China,Real Estate,Other Consumer Services,2020.0,4873.0,exchange,17 EDUCATION TECHNOLOGY AMERICAN DEPOSITARY SHARES
LBRA,1847 Holdings LLC,,,,,,,,sec_only,1847
BCOW,"1895 Bancorp of Wisconsin, Inc. /MD/",,,,,,,,sec_only,1895 BANCORP OF WISCONSIN MD
ISOL,"1mage Software, Inc.",0.0002,165130.0,,,,,,otc,1MAGE SOFTWARE
OPMZ,"1PM Industries, Inc.",1e-05,26292.0,,,,,,otc,1PM INDUSTRIES
ONCH,1RT Acquisition Corp. Class A Ordinary Share,10.31,0.0,United States,,,2025.0,11914.0,exchange,1RT ACQUISITION ORDINARY SHARE
FNRC,1st NRG Corp.,0.0001,872312.0,,,,,,otc,1ST NRG
SRCE,1st Source Corporation Common Stock,86.06,2072481946.0,United States,Finance,Major Banks,,114848.0,exchange,1ST SOURCE COMMON STOCK
DIBS,1stdibs.com Inc. Common Stock,4.48,150596513.0,United States,Consumer Discretionary,Catalog/Specialty Distribution,2021.0,77611.0,exchange,1STDIBS COMMON STOCK
OWSCX,1WS Credit Income Fund,,,,,,,,sec_only,1WS CREDIT INCOME FUND
AIDX,20/20 Biolabs Inc. Common Stock,0.5282,6745274.0,United States,Health Care,Precision Instruments,,45819.0,exchange,20 20 BIOLABS COMMON STOCK
TTBKF,2020 Bulkers Ltd.,0.4337,8734607.0,,,,,,otc,2020 BULKERS
TDOG,21Shares Dogecoin ETF,,,,,,,,sec_only,21SHARES DOGECOIN ETF
TETH,21Shares Ethereum ETF,,,,,,,,sec_only,21SHARES ETHEREUM ETF
THYP,21Shares Hyperliquid ETF,,,,,,,,sec_only,21SHARES HYPERLIQUID ETF
TSOL,21Shares Solana ETF,,,,,,,,sec_only,21SHARES SOLANA ETF
TSUI,21Shares Sui ETF,,,,,,,,sec_only,21SHARES SUI ETF
TOXR,21Shares XRP ETF,,,,,,,,sec_only,21SHARES XRP ETF
XXII,22nd Century Group Inc. Common Stock,3.01,2149122.0,United States,Health Care, Medicinal Chemicals and Botanical Products ,,99749.0,exchange,22ND CENTURY COMMON STOCK
TWNMF,29Metals Limited,0.174,304513312.0,,,,,,otc,29METALS
TCSIF,2CRSI S.A.,12.25,276772960.0,,,,,,otc,2CRSI S A
ZGBEF,2G Energy AG,64.1,,,,,,,otc,2G ENERGY
DMTRF,"3-D Matrix, Ltd.",2.5,319953088.0,,,,,,otc,3 D MATRIX
