ticker,name,tier,score_v1,need,src,mktcap,revenue,rev_growth,gross_margin,op_margin,fcf,ocf,cash,debt,shares,employees,country,summary,gate_funding,d_inhibition_proxy,capital_per_revenue,rev_per_employee,net_cash
NTRA,Natera,t1,89,Health · Diagnostics,NTRA,48821633024.0,2707076096.0,0.377,0.65230006,-0.102910005,104029000.0,228239008.0,1091501952.0,238488000.0,144144170.0,6135.0,United States,"Natera, Inc., a diagnostics company, engages in the development and commercialization of molecular testing services worldwide. It offers Signatera, a personalized ctDNA blood test for MRD assessment, early recurrence monitoring, and evaluation of treatment response in patients previously diagnosed with cancer; Latitude, a blood-based MRD test for colorectal cancer; Altera, a tissue based comprehensive genomic profiling test; and Empower, a hereditary cancer screening test. The company also provides Panorama, a non-invasive prenatal test; Horizon, a carrier screening test; Fetal Focus, a single-gene NIPT, or sgNIPT, that screens for 21 single-gene inherited conditions; and Vistara, a single-g",self-funding (FCF positive),requires growth or external capital,18.03,441251.0,853013952.0
TSM,TSMC,t1,87,Tech · Semis,TSM,2216180318208.0,4440492343296.0,0.36,0.6423,0.60344005,730826014720.0,2634679058432.0,3518010228736.0,1068558516224.0,5186474013.0,76907.0,Taiwan,"Taiwan Semiconductor Manufacturing Company Limited, together with its subsidiaries, manufactures, packages, tests, and sells integrated circuits and other semiconductor devices in Taiwan, China, Europe, the Middle East, Africa, Japan, the United States, and internationally. It provides various wafer fabrication processes, such as processes to manufacture complementary metal- oxide-semiconductor (CMOS) logic, mixed-signal, radio frequency, embedded memory, bipolar CMOS mixed-signal, and others. The company also involved in providing customer and engineering support services; manufacturing of masks; investment in technology start-up companies; research, designing, developing, manufacturing, pa",self-funding (FCF positive),profitable and self-funding at current scale,0.5,57738467.0,2449451712512.0
WRTBY,Wärtsilä,t1,86,Energy · Grid,WRT1V.HE,17432881152.0,6892000256.0,-0.022,0.46662998,0.12123,885625024.0,1496000000.0,2219000064.0,551000000.0,589546248.0,17313.0,Finland,"Wärtsilä Oyj Abp offers technologies and lifecycle solutions for the marine and energy markets worldwide. It offers energy storage; engine and hybrid power plants; and data centre power solutions, as well as lifecycle solutions, lifecycle upgrades, spare parts and field services, and decarbonisation solutions. It also provides engine power plant products, such as gas, multi-fuel, and diesel engines; Quantum BESS portfolio, a battery energy storage system (BESS) solutions; GEMS Digital Energy Platform, a software platform that monitors, controls, and optimizes energy assets on site and portfolio levels. In addition, the company offers power and propulsion products, such as electric shipping a",self-funding (FCF positive),profitable and self-funding at current scale,2.53,398082.0,1668000064.0
WAB,Wabtec,t1,86,Transport · Rail,WAB,50213818368.0,11980000256.0,0.175,0.35735,0.19188,1101374976.0,1999000064.0,660000000.0,6936000000.0,168910851.0,31000.0,United States,"Westinghouse Air Brake Technologies Corporation provides locomotives, equipment, systems, and services for the freight rail and passenger transit industries worldwide. It operates in two segments, Freight and Transit. It offers diesel-electric and liquid natural gas-powered locomotives; engines, electric motors, and propulsion systems; and marine and mining products. The company also offers positive train control equipment; electronically controlled pneumatic braking products; railway electronics; signal design and engineering services; distributed locomotive power, and train cruise and remote controls; industrial/mobile Internet of Things hardware and software, edge-to-cloud, on and off-boa",self-funding (FCF positive),profitable and self-funding at current scale,4.19,386451.0,-6276000000.0
TSNLF,Tristel,t1,85,Health · Disinfection,TSTL.L,202389408.0,49537000.0,0.136,0.81658,0.19705,7083375.0,10454000.0,13289000.0,5824000.0,48073493.0,270.0,United Kingdom,"Tristel plc develops, manufactures, and sells infection prevention products in the United Kingdom, Australia, Germany, Western Europe, and internationally. The company operates through three segments: Hospital Medical Device Decontamination, Hospital Environmental Surface Disinfection, and Other. It offers device decontamination products, including wipes system, ULT, OPH, Stella system, fuse for Stella, rinse assure, clean, EVE, medistel, EVA system, daisygrip, fuse for surfaces, dosing system, airstel, enzystel, DOK, pre-clean wipes, rinse wipes, sporicidal wipes, clean for Stella, protect, and wipes; surface disinfection products, such as FUSE, JET, JET LUX, JET PRO, TANK 10 CLO2, TANK 5 C",self-funding (FCF positive),profitable and self-funding at current scale,4.09,183470.0,7465000.0
TMRAY,Tomra,t1,85,Circular · Recycling,TOM.OL,32497473536.0,1426300032.0,0.246,0.59062,0.12099,257862496.0,185900000.0,69000000.0,709000000.0,295700378.0,5800.0,Norway,"Tomra Systems ASA provides sensor-based solutions for optimal resource productivity worldwide. It operates through four segments: TOMRA Collection, TOMRA Recycling, TOMRA Food, and TOMRA Horizon. The company provides reverse vending machines and related data management systems; and provides pick-up, transportation, and processing services of empty beverage containers on behalf of beverage producers/fillers. It also develops, produces, sale, and service sorting and processing technology for waste management companies or plant builders; and provides sorting systems for waste and metal material streams, as well as ore sorting sensors for mining companies. In addition, the company provides post-",self-funding (FCF positive),profitable and self-funding at current scale,22.78,245913.0,-640000000.0
UNP,Union Pacific,t1,85,Transport · Rail,UNP,182779215872.0,25410000896.0,0.115,0.56285,0.40982,4720750080.0,10263000064.0,2114000000.0,31168999424.0,594075498.0,28716.0,United States,"Union Pacific Corporation, through its subsidiary, Union Pacific Railroad Company, operates in the railroad business in the United States. It offers transportation services for grain and grain products, fertilizers, food and refrigerated products, and coal and renewables to grain processors, animal feeders, and ethanol and renewable biofuel producers; and construction products, industrial chemicals, plastics, forest products, specialized products, metals and ores, petroleum, liquid petroleum gases, soda ash, and sand, as well as finished automobiles, automotive parts, and merchandise in intermodal containers. The company was founded in 1862 and is headquartered in Omaha, Nebraska.",self-funding (FCF positive),profitable and self-funding at current scale,7.19,884872.0,-29054999424.0
LGRDY,Legrand,t1,85,Energy · Electrical,LR.PA,37116964864.0,10106600448.0,0.147,0.50189996,0.19048001,1031037504.0,1567399936.0,1970899968.0,7724400128.0,262125437.0,40931.0,France,"Legrand SA, together with its subsidiaries, manufactures, distributes, and sells electrical and digital building infrastructures in Europe, North and Central America, and internationally. The company offers energy distribution, protection, and management solutions, such as electric vehicle charging, residential and small commercial panels, switchboards and power cabinets, and UPS devices; and wiring devices, connected home and building control solutions, and guestroom solutions, as well as flush-mounted, junction, DCL, and floor boxes. It also provides security, communication, and network solutions, including access security, digital home networks, emergency lighting, fire alarms, IT network",self-funding (FCF positive),profitable and self-funding at current scale,3.67,246917.0,-5753500160.0
AHICF,Asahi Intecc,t1,85,Health · Devices,7333.T,,,,,,,,,,,,,,unknown,requires growth or external capital,,,
CLPBY,Coloplast,t1,84,Health · Consumables,COLO-B.CO,104232763392.0,28441999360.0,0.057,0.67232,0.26227,7667999744.0,7673999872.0,817000000.0,23803000832.0,207368138.0,17213.0,Denmark,"Coloplast A/S engages in the development and sale of intimate healthcare products and services in Denmark, the United States, the United Kingdom, France, and internationally. The company operates through Chronic Care, Continence Care, Voice and Respiratory Care, Interventional Urology, and Advanced Wound Dressings and Biologics segments. It provides ostomy care products, including SenSura Mio, which provides fit individual body shapes and discretion for various types of ostomies; and SenSura Ostomy care solutions, as well as ostomy accessories under the Brava brand. The company also offers continence care products, such as Conveen Active urine bags; SpeediCath catheters that offer catheteriz",self-funding (FCF positive),profitable and self-funding at current scale,3.66,1652355.0,-22986000832.0
WST,West Pharm,t1,84,Health · Drug packaging,WST,24356345856.0,3326799872.0,0.138,0.36786,0.22469,277937504.0,662200000.0,435800000.0,316500000.0,70375762.0,10800.0,United States,"West Pharmaceutical Services, Inc. designs, manufactures, and sells containment and delivery systems for injectable drugs and healthcare products in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates in two segments, Proprietary Products and Contract-Manufactured Products. The Proprietary Products segment offers stoppers and seals for injectable packaging systems; syringe and cartridge components, including custom solutions for the needs of injectable drug applications, as well as administration systems that enhance the safe delivery of drugs through advanced reconstitution, mixing, and transfer technologies; and films, coatings, washing, and vision inspection a",self-funding (FCF positive),profitable and self-funding at current scale,7.32,308037.0,119300000.0
GH,Guardant,t1,84,Health · Diagnostics,GH,22614738944.0,1183105024.0,0.443,0.65012,-0.38247,26607000.0,-185187008.0,1053468992.0,1697012992.0,134196170.0,2490.0,United States,"Guardant Health, Inc., a precision oncology company, provides blood and tissue tests, and data sets in the United States and internationally. The company offers Guardant360 CDx test, a liquid biopsy test for tumor mutation profiling; Guardant360 Liquid test, which measures 740+ genes and supports all guideline-recommended biomarkers; Guardant Reveal test, a blood test that utilizes circulating tumor DNA to detect cancer at the molecular level; and Guardant360 Tissue test, a molecular profiling test for tumor tissue that provides genomic, transcriptomic, and epigenomic insights. It also provides Shield blood test for colorectal cancer screening in adults. In addition, the company offers Guard",self-funding (FCF positive),requires growth or external capital,19.11,475142.0,-643544000.0
BSY,Bentley,t1,84,Tech · Infra software,BSY,11361714176.0,1602039040.0,0.128,0.81845003,0.25,397979616.0,522884992.0,146980992.0,1267444992.0,290577762.0,5800.0,United States,"Bentley Systems, Incorporated, together with its subsidiaries, provides infrastructure engineering software solutions in the Americas, Europe, the Middle East, Africa, and the Asia-Pacific. The company offers open modeling applications, such as MicroStation, OpenBridge, OpenBuildings, OpenFlows, OpenPlant, OpenRail, OpenRoads, OpenSite and OpenSite+, OpenTower, OpenTunnel, and OpenUtilities; and open simulation applications, including ADINA, AutoPIPE, LEGION, OpenPaths, Power Line Systems, RAM, SACS, SPIDA, and STAAD; and geoprofessional applications for modeling and simulation of near and deep subsurface conditions, including AGS, Central, GeoStudio, Imago, Leapfrog, MX Deposit, Oasis monta",self-funding (FCF positive),profitable and self-funding at current scale,7.09,276213.0,-1120464000.0
TOELY,Tokyo Electron,t1,84,Tech · Semi equip,8035.T,25545112813568.0,2626335014912.0,0.333,0.45562,0.28866,297172500480.0,583521992704.0,409607995392.0,0.0,454296856.0,20236.0,Japan,"Tokyo Electron Limited, together with its subsidiaries, develops, manufactures, and sells semiconductor production equipment in Japan, South Korea, Taiwan, China, North America, Europe, and internationally. The company provides coaters/developers, plasma etch systems, cleaning systems, deposition systems, test systems, 3D integration systems, SiC Epitaxial CVD systems, and gas cluster beam systems, as well as other deposition and lithography and other products. It also offers engineering services; spare parts/repairs; upgrades/modification; and used products, as well as display production equipment. The company was incorporated in 1951 and is based in Tokyo, Japan.",self-funding (FCF positive),profitable and self-funding at current scale,9.73,129785284.0,409607995392.0
BOEUF,Bonesupport,t1,83,Health · Ortho,BOEUF,1538263168.0,,0.251,0.92046,0.0,146790368.0,,,,65485875.0,171.0,Sweden,"Bonesupport Holding AB (publ), an orthobiologics company, develops and commercializes injectable bio-ceramic bone graft substitutes in the United States, Europe, and internationally. The company offers CERAMENT Bone Void Filler, an injectable ceramic bone graft substitute that remodels to host bone; CERAMENT G, an injectable ceramic bone graft substitute that remodels to host bone and elutes Gentamicin during the critical first 30 days of bone healing, as well as treats and prevents bone infection; and CERAMENT V, an injectable ceramic bone graft substitute that remodels to host bone and elutes Vancomycin during the critical first 30 days of bone healing, as well as treats and prevents bone ",self-funding (FCF positive),requires growth or external capital,,,
CP,CPKC,t1,83,Transport · Rail,CP,82510381056.0,15448999936.0,0.126,0.53395003,0.38977,2181374976.0,5500000256.0,366000000.0,25147000832.0,879079224.0,19687.0,Canada,"Canadian Pacific Kansas City Limited, together with its subsidiaries, owns and operates a transcontinental freight railway in Canada, the United States, and Mexico. The transports bulk commodities, including grain, coal, potash, fertilizers, and sulphur; merchandise freight consists of industrial and consumer products, such as forest products, energy, chemicals and plastics, metals, minerals, consumer products, and automotive; and intermodal traffic comprising retail goods in overseas containers. The company also provides rail and intermodal transportation services through a network of approximately 20,000 miles serving business centers. The company was formerly known as Canadian Pacific Rai",self-funding (FCF positive),profitable and self-funding at current scale,5.34,784731.0,-24781000832.0
GKOS,Glaukos,t1,83,Health · Ophthalmic,GKOS,10729767936.0,612838976.0,0.495,0.79121,-0.08495,15456250.0,-950000.0,286225984.0,107604000.0,58983937.0,1094.0,United States,"Glaukos Corporation, an ophthalmic pharmaceutical and medical technology company, develops therapies for the treatment of glaucoma, corneal disorders, and retinal diseases in the United States and internationally. It offers iStent and iStent inject W micro-bypass stents designed to treat mild-to-moderate open-angle glaucoma through the restoration of the natural physiologic outflow pathways for aqueous humor. The company also provides iStent infinite indicated for use in the treatment of patients with glaucoma uncontrolled by prior medical and surgical therapy; and iDose TR, an intracameral procedural pharmaceutical therapy indicated for the reduction of intraocular pressure in patients with",self-funding (FCF positive),requires growth or external capital,17.51,560181.0,178621984.0
IOT,Samsara,t1,83,Tech · Fleet IoT,IOT,24398069760.0,1730594944.0,0.305,0.76298,0.01503,242680256.0,265011008.0,804318976.0,69020000.0,372784485.0,4100.0,United States,"Samsara Inc. provides solutions to connect physical operations data to its connected operations platform in the United States and internationally. The company's Connected Operations Platform includes Data Platform, which ingests, aggregates, and enriches data from its IoT devices and a growing ecosystem of connected assets and third-party systems, and which has embedded capabilities for AI, workflows and analytics, alerts, API connections, and data security and privacy. Its applications include video-based safety; and telematics, which provides visibility into real-time vehicle location and diagnostics with GPS tracking, routing and dispatch, fuel management, driver recognition, electric veh",self-funding (FCF positive),profitable and self-funding at current scale,14.1,422096.0,735298976.0
TDVXF,Tobii Dynavox,t1,82,Health · Assistive,TDVOX.ST,,,,,,,,,,,,,,unknown,requires growth or external capital,,,
